,Date,Contributor,Zip,Amount,Recipient,Record Type Description,Source Description
0,3/28/2001,Greater Boston Real Estate Board PAC,2108,$125.00 ,"Berry, Frederick E.",Committee,2001 Year-end Report (ND)
1,4/9/2001,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Kafka, Louis L.",Committee,2001 Year-end Report (ND)
2,4/10/2001,GREATER BOSTON REAL ESTATE BOARD,2108,$100.00 ,"Bosley, Daniel E.",Committee,2001 Year-end Report (ND)
3,4/30/2001,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Quinn, John F.",Committee,2001 Year-end Report (ND)
4,12/1/2001,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Jones Jr., Bradley H.",Committee,2001 Year-end Report (ND)
5,12/2/2001,Greater Boston Real Estate Board,2108,$100.00 ,"Festa, Michael E.",Committee,2001 Year-end Report (ND)
6,12/18/2001,GREATER BOSTON REAL ESTATE BOARD,2108,$100.00 ,"Walsh, Marian",Committee,2001 Year-end Report (ND)
7,2/7/2002,Greater Boston Real Estate Board,2108,$125.00 ,"Melconian, Linda J.",Committee,2002 Pre-primary Report (ND)
8,2/12/2002,Greater Boston Real Estate Board,2108,$100.00 ,"Travaglini, Robert E.",Committee,2002 Pre-primary Report (ND)
9,2/13/2002,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Harkins, Lida E.",Committee,2002 Pre-primary Report (ND)
10,2/13/2002,Greater Boston Real Estate Board PAC,2108,$125.00 ,"Moore, Richard T.",Committee,2002 Pre-primary Report (ND)
11,2/14/2002,Greater Boston Real Estate Board,2108,$100.00 ,"Fallon, Christopher G.",Committee,2002 Pre-primary Report (ND)
12,2/16/2002,GREATER BOSTON REAL ESTATE BOARD,,$100.00 ,"Walsh, Marian",Committee,2002 Pre-primary Report (ND)
13,2/20/2002,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Rosenberg, Stanley C.",Committee,2002 Pre-primary Report (ND)
14,2/27/2002,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Morrissey, Michael W.",Committee,2002 Pre-primary Report (ND)
15,3/20/2002,Greater Boston Real Estate Board,2108,$100.00 ,"Casey, Paul C.",Committee,2002 Pre-primary Report (ND)
16,3/26/2002,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Joyce, Brian A.",Committee,2002 Pre-primary Report (ND)
17,3/28/2002,Greater Boston Real Estate Boad,2108,$100.00 ,"Montigny, Mark C.W.",Committee,2002 Pre-primary Report (ND)
18,4/4/2002,Greater Boston Real Estate Board PAC,2108,$125.00 ,"Berry, Frederick E.",Committee,2002 Pre-primary Report (ND)
19,4/5/2002,Greater Boston Real Estate Board,2108,$125.00 ,"DiMasi, Salvatore F.",Committee,2002 Pre-primary Report (ND)
20,4/5/2002,Greater Boston Real Estate Board PAC,2108,$125.00 ,"DeLeo, Robert A.",Committee,2002 Pre-primary Report (ND)
21,4/5/2002,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Lees, Brian",Committee,2002 Pre-primary Report (ND)
22,4/5/2002,Greater Boston Real Estate Board PAC,2108,$125.00 ,"Quinn, John F.",Committee,2002 Pre-primary Report (ND)
23,4/9/2002,Greater Boston Real Estate Board,2108,$100.00 ,"Creedon Jr., Robert S.",Committee,2002 Pre-primary Report (ND)
24,4/10/2002,Greater Boston Real Estate Board,2108,$100.00 ,"Walsh, Martin J.",Committee,2002 Pre-primary Report (ND)
25,4/12/2002,Greater Boston Real Estate Board P.A.C.,2108,$200.00 ,"Petrolati, Thomas M.",Individual,2002 Pre-primary Report (ND)
26,4/23/2002,GREATER BOSTON REAL ESTATE BOARD,2108,$100.00 ,"Bosley, Daniel E.",Committee,2002 Pre-primary Report (ND)
27,4/23/2002,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Shannon (deceased), Charles",Committee,2002 Pre-primary Report (ND)
28,4/24/2002,Greater Boston Real Estate Boa,2108,$100.00 ,"Honan, Kevin G.",Committee,2002 Pre-primary Report (ND)
29,4/24/2002,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$125.00 ,"Lewis, Maryanne",Committee,2002 Pre-primary Report (ND)
30,4/26/2002,GREATER BOSTON REAL ESTATE BOARD,2108,$100.00 ,"Kujawski, Paul",Committee,2002 Pre-primary Report (ND)
31,4/26/2002,GREATER BOSTON REAL ESTATE BOARD,2108,$100.00 ,"Kujawski, Paul",Committee,2002 Year-end Report (ND)
32,5/18/2002,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Brewer, Stephen M.",Committee,2002 Pre-primary Report (ND)
33,6/20/2002,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Murphy, Stephen",Committee,6/20/02 Deposit Report
34,8/12/2002,Greater Boston Real Estate Board PAC,2108,$300.00 ,"Murphy, Stephen",Committee,8/12/02 Deposit Report
35,9/3/2002,Greater Boston Real Estate Board,2108,$150.00 ,"Swan, Benjamin",Union/Association,2002 Pre-election Report (ND)
36,9/16/2002,Greater Boston Real Estate Board,2108,$200.00 ,"Galluccio, Anthony D.",Committee,2002 Pre-election Report (ND)
37,10/24/2002,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Bunker Jr., David C.",Committee,2002 Year-end Report (ND)
38,10/29/2002,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Scaccia, Angelo M.",Committee,2002 Year-end Report (ND)
39,11/19/2002,Greater Boston Real Estate Board PAC,2108,$125.00 ,"Shannon (deceased), Charles",Committee,2002 Year-end Report (ND)
40,11/25/2002,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Murphy, Stephen",Committee,11/25/02 Deposit Report
41,2/11/2003,Greater Boston Real Estate Board,2108,$100.00 ,"Wallace, Brian P.",Committee,2003 Year-end Report (ND)
42,2/11/2003,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Harkins, Lida E.",Committee,2003 Year-end Report (ND)
43,2/13/2003,Greater Boston Real Estate Board PAC,2108,$125.00 ,"Berry, Frederick E.",Committee,2003 Year-end Report (ND)
44,2/27/2003,Greater Boston Real Estate Board,2108,$100.00 ,"Rosenberg, Stanley C.",Committee,2003 Year-end Report (ND)
45,2/27/2003,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Morrissey, Michael W.",Committee,2003 Year-end Report (ND)
46,3/21/2003,Greater Boston Real Estate Board PAC,2108,$125.00 ,"Murphy, Stephen",Committee,3/21/03 Deposit Report
47,3/24/2003,Greater Boston Real Estate Board,2108,$125.00 ,"Jacques, Cheryl Ann",Committee,2003 Year-end Report (ND)
48,3/24/2003,Greater Boston Real Estate Board,2108,$100.00 ,"Havern III, Robert A.",Committee,2003 Year-end Report (ND)
