,Date,Contributor,Zip,Amount,Recipient,Record Type Description,Source Description
0,1/6/2004,"Druker, Ron",2108.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2004 Pre-primary Report (PAC)
1,1/6/2004,"Spurr, John",2066.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2004 Pre-primary Report (PAC)
2,12/21/2004,"Barkan, Mel A",2116.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2004 Year-end Report (PAC)
3,12/21/2004,"Boyajian, Sonia V",2472.0,$300.00,Greater Boston Real Estate Board PAC,Individual,2004 Year-end Report (PAC)
4,12/21/2004,"Coppola, John A",2445.0,$300.00,Greater Boston Real Estate Board PAC,Individual,2004 Year-end Report (PAC)
5,12/21/2004,"Harcovitz, John",2054.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2004 Year-end Report (PAC)
6,12/21/2004,"Katz, Jonathan",2445.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2004 Year-end Report (PAC)
7,12/21/2004,"Poorvy, David",1778.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2004 Year-end Report (PAC)
8,12/21/2004,"White, William R",2445.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2004 Year-end Report (PAC)
9,12/28/2004,"Kargman, William M",2138.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2004 Year-end Report (PAC)
10,12/28/2004,"Owens, Leonard C",1907.0,$300.00,Greater Boston Real Estate Board PAC,Individual,2004 Year-end Report (PAC)
11,12/28/2004,"Zuker, Edward E",2459.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2004 Year-end Report (PAC)
12,12/31/2004,Aggregated Unitemized Receipts,,$150.00,Greater Boston Real Estate Board PAC,Aggregated Unitemized Receipts,2004 Year-end Report (PAC)
13,1/19/2005,"Spurr, Jr., John H.",2066.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
14,2/3/2005,"Owens, Leonard",1907.0,$300.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
15,3/7/2005,"Anderson, Richard K",1581.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
16,3/21/2005,"Dow, Scott",2111.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
17,3/21/2005,"Gorin, Rosalind",2108.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
18,3/21/2005,"O'Grady, Norman",2135.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
19,3/22/2005,"Deloia, Leonard",1757.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
20,3/22/2005,"Landall, Ann",2420.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
21,3/22/2005,"Laverty, Charles",2478.0,$200.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
22,3/22/2005,"Lynch, Alexander",2114.0,$25.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
23,3/22/2005,"Mario, Joseph",2128.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
24,3/22/2005,"Savage, Jason & Melanie",2120.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
25,3/23/2005,"Loughlin, Jr., Richard J",1742.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
26,3/23/2005,"Zussman, David",2159.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
27,3/24/2005,"Beal, Robert L",2108.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
28,3/24/2005,"Miller, Nathan R",2108.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
29,3/24/2005,"Naves, Dora",1752.0,$25.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
30,3/24/2005,"Phelan, Kevin C.",2481.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
31,3/28/2005,"Benson, Charles E",2452.0,$25.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
32,3/28/2005,"O'Neil, III, Jack",1760.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
33,3/29/2005,"Freudenheim, Leigh L",2116.0,$200.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
34,3/29/2005,"Solar, Barry L.",2116.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
35,3/29/2005,"White, William R.",2445.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
36,3/30/2005,"Boyajian, Sonia V",2472.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
37,3/30/2005,"Ferguson, Daniel",2467.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
38,3/30/2005,"Lioce, Joshua M",1757.0,$75.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
39,3/31/2005,"Broden, Clark",1701.0,$25.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
40,3/31/2005,"Plunkett, IV, Joseph",2171.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
41,3/31/2005,"Steinkrauss, Donna E.",2420.0,$25.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
42,3/31/2005,"Torelli, Joyce",1752.0,$25.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
43,4/1/2005,"Alperin, Thomas",2493.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
44,4/1/2005,"McLaughlin, William",2167.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
45,4/1/2005,"Packard, III, L. William",2111.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
46,4/4/2005,"McMahon, Martha M",2492.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
47,4/4/2005,"Petrini, Gary W",2194.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
48,4/4/2005,"Pratt, Janet L.",2021.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
49,4/4/2005,"Zafferano, Anthony",2492.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
50,4/8/2005,"Owens, Leonard",1907.0,$200.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
51,4/8/2005,"Parker, Theodore F",2181.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
52,4/11/2005,"Bradley, David H",1778.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
53,4/11/2005,"Levy, Mark",2481.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
54,4/11/2005,"McKenna, Stephen J",2474.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
55,4/11/2005,"Sprague, Lee T.",2108.0,$200.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
56,4/12/2005,"Davis, Jonathan",2467.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
57,4/12/2005,"Marcus, Paul R",2445.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
58,4/26/2005,"Polino, James",2152.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
59,4/27/2005,"Basile, Robert W",2446.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
60,4/27/2005,"Fantini, Jr., George J",1810.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
61,4/27/2005,"Tierney, Mary P.",2136.0,$150.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
62,4/28/2005,"Schretter, Irma",2445.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
63,5/3/2005,"Rappaport, Jr., Jerome L.",2492.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
64,5/4/2005,"Wolf, Jeanne",2144.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
65,5/17/2005,"Coppola, John A",2445.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
66,5/17/2005,"Grant, Robert",2482.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
